D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.021998634,0.105774464,0.04709447,0.0074991,114.0206218
12,5.5,0.458333333,0.022082171,0.105675965,0.047646784,0.007587258,113.5892822
12,5.5,0.458333333,0.022129819,0.106691867,0.047810939,0.007613056,113.3447103
12,5.5,0.458333333,0.022185002,0.107750777,0.048110216,0.007660878,113.0627767
12,5.5,0.458333333,0.022218125,0.108296627,0.048494317,0.007721704,112.894222
12,5.5,0.458333333,0.022015161,0.103711274,0.046718874,0.007439615,113.935026
12,5.5,0.458333333,0.021991814,0.105586141,0.046643935,0.007427613,114.0559815
12,5.5,0.458333333,0.022191639,0.107907201,0.048067648,0.007653901,113.0289632
12,5.5,0.458333333,0.010287669,0.108290211,0.046180532,0.007353532,101.4717204
12,5.5,0.458333333,0.010230195,0.104296947,0.045090098,0.00717984,102.0417969
12,5.5,0.458333333,0.010251322,0.105565842,0.045055865,0.007174843,101.8315023
12,5.5,0.458333333,0.010288955,0.107098929,0.045829743,0.007297674,101.4590413
12,5.5,0.458333333,0.010300094,0.10640986,0.045908271,0.007310251,101.3493164
12,5.5,0.458333333,0.01024982,0.104145205,0.044779241,0.00713044,101.8464274
12,5.5,0.458333333,0.010248594,0.105285748,0.044355283,0.007063116,101.8586019
12,5.5,0.458333333,0.010221828,0.10278441,0.043928112,0.006995149,102.1253255
12,5.5,0.458333333,0.010252943,0.104672045,0.044982909,0.007163252,101.8154053
12,5.5,0.458333333,0.010238443,0.104271511,0.044489026,0.007084263,101.9595947
12,5.5,0.458333333,0.010272555,0.106199198,0.045146067,0.00718915,101.6210205
12,5.5,0.458333333,0.010280067,0.105122226,0.045262289,0.007207673,101.5467611
12,5.5,0.458333333,0.01023564,0.1027143,0.044303386,0.007054878,101.9875163
12,5.5,0.458333333,0.010284907,0.106732413,0.045293483,0.007212775,101.4989746
12,5.5,0.458333333,0.010278779,0.104376948,0.045233571,0.007203129,101.5594889
12,5.5,0.458333333,0.010182655,0.102840682,0.043740655,0.006964991,102.5182048
12,5.5,0.458333333,0.010276866,0.104281809,0.044752245,0.007126196,101.5783936
12,5.5,0.458333333,0.01025802,0.103965285,0.044702538,0.007118153,101.7650065
12,5.5,0.458333333,0.010301179,0.106381237,0.045642566,0.007267646,101.3386393
12,5.5,0.458333333,0.010297343,0.104521666,0.045415167,0.007231588,101.3763916
12,5.5,0.458333333,0.010301647,0.105611561,0.045420562,0.007232768,101.3340413
12,5.5,0.458333333,0.010298308,0.103937516,0.04516813,0.007192264,101.3668945
12,5.5,0.458333333,0.010255329,0.103850917,0.044783936,0.007131488,101.7917155
12,5.5,0.458333333,0.010246415,0.102419714,0.044392433,0.007069021,101.8802653
12,5.5,0.458333333,0.010308002,0.106912843,0.045585448,0.007258699,101.2715658
12,5.5,0.458333333,0.010350461,0.106703471,0.046291981,0.007371425,100.8561361
12,5.5,0.458333333,0.010278854,0.103261751,0.044574808,0.007097666,101.5587402
12,5.5,0.458333333,0.010320539,0.105901066,0.045642308,0.00726839,101.1485433
12,5.5,0.458333333,0.010355355,0.10716294,0.046340186,0.007378795,100.8084717
12,5.5,0.458333333,0.009517968,0.108841457,0.052763844,0.008389449,109.6775635
12,5.5,0.458333333,0.009123157,0.106943871,0.047161864,0.007510082,114.4239339
12,5.5,0.458333333,0.009095904,0.105497477,0.046383093,0.007385981,114.7667725
12,5.5,0.458333333,0.009130989,0.105710432,0.046958041,0.007477233,114.3257894
12,5.5,0.458333333,0.009100241,0.105183165,0.046280357,0.00736954,114.7120687
12,5.5,0.458333333,0.009147317,0.107438792,0.047165691,0.007510383,114.1217204
12,5.5,0.458333333,0.009146855,0.107741306,0.047028457,0.007488636,114.1274821
12,5.5,0.458333333,0.00915841,0.106002079,0.047096109,0.007499138,113.983488
12,5.5,0.458333333,0.009110513,0.103921986,0.04607892,0.007337451,114.5827311
12,5.5,0.458333333,0.009155952,0.105991155,0.046775096,0.007448517,114.0140869
12,5.5,0.458333333,0.00917071,0.106938555,0.04701591,0.007486606,113.8306071
12,5.5,0.458333333,0.009219467,0.107975698,0.047649912,0.007587554,113.2286133
12,5.5,0.458333333,0.009159446,0.104026416,0.046510708,0.007406161,113.9705973
12,5.5,0.458333333,0.009140596,0.105279378,0.045980907,0.007321989,114.2056315
12,5.5,0.458333333,0.009198204,0.106178677,0.046997786,0.007483862,113.4903565
12,5.5,0.458333333,0.009115276,0.10187474,0.04515394,0.007190107,114.5228678
12,5.5,0.458333333,0.009142003,0.105146862,0.045800871,0.007293211,114.1880453
12,5.5,0.458333333,0.009182872,0.104986475,0.046485942,0.007402193,113.6798503
12,5.5,0.458333333,0.00919736,0.106851897,0.046740533,0.007442598,113.5007813
12,5.5,0.458333333,0.009214578,0.105590817,0.046903142,0.007468701,113.2886963
12,5.5,0.458333333,0.009196853,0.105298633,0.046683136,0.007433493,113.5070313
12,5.5,0.458333333,0.009201571,0.104769345,0.046470935,0.007399918,113.4488363
12,5.5,0.458333333,0.009211709,0.106156177,0.046738337,0.007442257,113.3239746
12,5.5,0.458333333,0.009211018,0.10596153,0.046703171,0.00743684,113.3324788
12,5.5,0.458333333,0.009192959,0.104085191,0.046176938,0.007353009,113.5551107
12,5.5,0.458333333,0.009230791,0.106026926,0.046961568,0.007477853,113.0897135
12,5.5,0.458333333,0.009179288,0.102540822,0.045844486,0.007300205,113.724235
12,5.5,0.458333333,0.009195991,0.105669715,0.0461606,0.007350612,113.5176758
12,5.5,0.458333333,0.009220293,0.106073046,0.04640926,0.007389925,113.2184733
12,5.5,0.458333333,0.009274085,0.105915859,0.047425494,0.007551788,112.5617757
12,5.5,0.458333333,0.137278611,0.088934609,0.041412423,0.006594466,105.3578369
12,5.5,0.458333333,0.137062585,0.088603933,0.041174839,0.00655659,105.5238932
12,5.5,0.458333333,0.13706583,0.088534134,0.041240658,0.006567017,105.5213949
12,5.5,0.458333333,0.137103747,0.087245133,0.040945733,0.006519763,105.4922119
12,5.5,0.458333333,0.136981273,0.087579196,0.040707051,0.006481817,105.5865316
12,5.5,0.458333333,0.137042472,0.085908673,0.040816687,0.006499562,105.5393799
12,5.5,0.458333333,0.137035741,0.087963701,0.040943554,0.006519676,105.5445638
12,5.5,0.458333333,0.137095307,0.087317589,0.040785222,0.00649451,105.4987061
12,5.5,0.458333333,0.136865321,0.085564163,0.040610369,0.006466569,105.6759847
12,5.5,0.458333333,0.137407003,0.088203227,0.041152583,0.006553006,105.2593913
12,5.5,0.458333333,0.137020443,0.086807719,0.040673748,0.006477031,105.5563477
12,5.5,0.458333333,0.137187099,0.08675356,0.040774562,0.006492768,105.4281169
12,5.5,0.458333333,0.137091532,0.086794285,0.040749148,0.006488688,105.5016113
12,5.5,0.458333333,0.137316837,0.086203827,0.04072245,0.006484552,105.3285075
12,5.5,0.458333333,0.136986162,0.085758103,0.040589961,0.006463379,105.5827637
12,5.5,0.458333333,0.137348334,0.087044704,0.040826388,0.006500959,105.3043538
12,5.5,0.458333333,0.137255923,0.085960244,0.040656621,0.006474022,105.3752523
12,5.5,0.458333333,0.13758767,0.087910046,0.041188558,0.006558596,105.1211751
12,5.5,0.458333333,0.137444759,0.086482992,0.040899582,0.00651278,105.2304769
12,5.5,0.458333333,0.137653996,0.087336752,0.041126479,0.006548955,105.0705241
